,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
94831,30-Sep-21,8:20:00,44,0,0,32,38,21,16,37,30,17,16,6,9,8,0,30,34,2,11,11,28,13,19,32,0,28,30,11,5,9,55,33
94841,30-Sep-21,8:30:00,48,3,0,14,39,18,13,59,40,15,28,10,13,2,14,32,31,33,10,18,22,15,26,40,3,23,40,15,14,8,32,37
94851,30-Sep-21,8:40:00,50,3,0,23,33,23,25,35,16,6,29,11,11,13,6,36,27,15,7,17,26,15,21,40,0,12,33,19,15,11,37,40
94861,30-Sep-21,8:50:00,45,7,0,32,37,23,17,35,28,14,35,21,12,14,4,23,35,16,11,15,25,12,32,37,0,7,14,19,3,21,42,32
94871,30-Sep-21,9:00:00,43,0,0,18,35,23,25,36,22,9,37,9,8,14,13,29,33,26,0,19,21,20,24,30,0,14,21,18,11,32,42,36
94881,30-Sep-21,9:10:00,37,2,0,14,45,25,24,34,24,5,45,12,14,8,8,49,35,25,17,13,28,31,28,25,0,16,31,26,25,11,50,47
94891,30-Sep-21,9:20:00,50,5,0,22,52,17,22,37,17,0,30,3,9,10,5,42,48,36,4,11,17,8,26,36,0,2,31,38,17,13,44,48
94901,30-Sep-21,9:30:00,47,5,11,17,32,23,25,47,18,16,36,20,5,17,15,33,29,25,9,16,15,22,28,37,0,8,43,13,13,15,51,53
94911,30-Sep-21,9:40:00,49,2,4,25,42,26,27,41,22,10,23,8,13,13,3,35,27,30,9,20,19,26,29,36,0,0,26,9,10,18,40,40
94921,30-Sep-21,9:50:00,46,16,0,17,45,21,22,48,21,14,36,6,17,3,21,34,26,31,12,12,25,17,23,27,0,10,9,7,3,21,42,32
94931,30-Sep-21,10:00:00,40,13,0,13,47,39,22,51,19,19,45,5,15,12,21,27,37,38,17,14,23,26,23,41,0,14,39,0,9,31,44,31
94941,30-Sep-21,10:10:00,46,1,0,30,43,26,25,44,11,16,43,16,5,15,17,37,24,34,0,19,15,21,15,32,0,16,28,20,12,21,40,33
94951,30-Sep-21,10:20:00,36,0,0,22,45,17,35,52,15,15,38,11,20,15,9,27,75,32,0,21,8,19,0,23,0,7,29,23,28,14,36,32
94961,30-Sep-21,10:30:00,49,3,0,23,35,17,36,46,26,20,30,18,13,12,9,35,20,44,7,16,26,27,0,25,0,11,36,14,20,16,40,29
94971,30-Sep-21,10:40:00,34,7,15,18,44,6,37,57,28,13,36,22,27,21,8,24,42,28,2,19,27,18,3,30,0,15,4,11,26,22,50,30
94981,30-Sep-21,10:50:00,37,1,5,19,54,26,36,61,24,12,39,16,13,4,19,34,28,42,5,20,23,25,31,31,0,30,41,0,26,17,35,36
94991,30-Sep-21,11:00:00,27,1,5,22,46,16,33,49,25,17,42,27,14,3,19,16,22,18,0,31,22,19,29,31,0,22,29,0,19,25,36,43
95001,30-Sep-21,11:10:00,25,14,6,27,43,12,30,59,26,14,44,27,17,15,18,34,18,36,8,25,22,26,18,33,0,19,21,12,31,28,32,43
95011,30-Sep-21,11:20:00,28,9,19,24,53,18,42,45,18,14,23,32,25,21,26,27,17,32,13,23,28,23,25,30,0,23,23,2,12,15,34,27
95021,30-Sep-21,11:30:00,23,10,0,30,49,9,38,47,28,11,22,24,19,11,27,23,23,24,10,33,32,26,36,27,0,12,21,13,19,29,26,38
95031,30-Sep-21,11:40:00,36,28,5,28,21,22,52,48,29,16,45,14,21,39,15,25,6,27,3,16,28,21,8,22,11,22,7,10,14,42,16,22
95041,30-Sep-21,11:50:00,28,19,2,13,25,3,24,49,48,7,24,43,41,17,9,18,1,15,0,23,19,20,13,18,9,12,27,19,36,34,31,16
95051,30-Sep-21,12:00:00,51,25,0,30,40,0,47,41,43,16,31,46,47,30,6,23,10,32,17,19,21,27,34,22,3,12,16,38,30,39,31,8
95061,30-Sep-21,12:10:00,41,26,0,19,36,13,38,25,30,22,37,43,35,17,10,21,4,21,9,27,16,33,37,10,11,9,14,24,27,38,32,8
95071,30-Sep-21,12:20:00,52,32,3,3,46,18,36,25,29,12,26,49,33,24,9,22,17,55,12,24,13,23,12,21,4,10,17,21,17,31,27,14
95081,30-Sep-21,12:30:00,52,8,0,1,42,23,35,26,43,7,28,47,34,33,9,22,4,32,5,44,26,59,24,19,7,3,0,33,19,41,42,18
95091,30-Sep-21,12:40:00,30,10,0,10,18,10,36,52,44,11,27,36,45,8,9,22,0,41,5,20,14,25,14,10,13,8,20,39,19,23,30,12
95101,30-Sep-21,12:50:00,42,27,2,7,19,21,40,33,15,9,43,38,28,8,12,28,9,13,10,19,27,19,26,3,2,6,26,15,30,23,26,11
95111,30-Sep-21,13:00:00,30,22,5,33,19,0,43,29,19,10,20,28,45,17,10,15,0,31,3,45,15,25,12,0,16,25,15,24,13,20,26,11
95121,30-Sep-21,13:10:00,32,37,0,11,3,13,36,32,36,10,5,25,40,12,5,17,0,14,5,13,12,16,0,11,23,1,3,16,10,6,36,21
95131,30-Sep-21,13:20:00,43,24,0,12,10,7,38,33,19,8,1,26,29,9,11,21,0,30,4,4,1,20,11,3,3,4,8,10,8,19,29,13
95141,30-Sep-21,13:30:00,25,20,0,0,5,10,41,27,0,11,39,36,45,0,17,36,8,19,1,31,12,30,23,2,16,12,17,0,13,28,19,14
95151,30-Sep-21,13:40:00,31,20,0,0,10,6,30,6,28,1,18,11,31,0,14,17,16,12,5,43,24,17,19,0,8,12,5,12,8,17,18,11
95161,30-Sep-21,13:50:00,20,17,0,0,13,0,31,37,46,0,36,11,21,8,14,37,10,28,5,83,20,21,15,0,6,2,0,11,14,19,22,2
95171,30-Sep-21,14:00:00,27,9,0,0,0,6,44,25,34,0,8,21,33,7,12,24,17,26,13,5,8,6,3,5,3,3,28,0,22,34,33,0
95181,30-Sep-21,14:10:00,21,5,0,0,15,0,27,41,15,0,3,25,38,9,6,18,7,26,2,2,0,19,33,9,10,10,4,3,14,21,15,0
95191,30-Sep-21,14:20:00,49,17,0,6,5,7,30,31,3,2,0,3,44,2,13,6,27,32,2,16,0,26,9,0,42,6,9,20,5,11,3,5
95201,30-Sep-21,14:30:00,31,0,0,22,7,0,34,7,1,8,8,19,33,3,14,14,5,12,11,31,6,40,4,6,12,6,0,11,0,0,11,3
95211,30-Sep-21,14:40:00,19,0,0,10,1,2,29,9,0,17,8,3,37,0,10,15,4,16,0,25,1,20,36,4,6,15,4,5,12,7,2,4
